BEST,0.0009980201721191406,0.0019965171813964844,0.003999471664428711,0.005004405975341797,0.014998674392700195,0.006814241409301758,0.008991479873657227,0.010000467300415039,0.014521121978759766,0.012995719909667969
WORST,0.023003816604614258,0.09452962875366211,0.20929312705993652,0.3433663845062256,0.5822384357452393,0.7707269191741943,1.0654447078704834,1.3678712844848633,1.6824612617492676,2.048997640609741
AVERAGE,0.0010023117065429688,0.0029997825622558594,0.0042896270751953125,0.006022930145263672,0.006002902984619141,0.007001638412475586,0.010157585144042969,0.009994983673095703,0.012526750564575195,0.012010574340820312
-------------------- Numero de iteracion 1 --------------------
BEST,0.001012563705444336,0.002543210983276367,0.0035028457641601562,0.0050046443939208984,0.009003877639770508,0.008003950119018555,0.009014368057250977,0.013158798217773438,0.010004281997680664,0.012997865676879883
WORST,0.020183324813842773,0.08283185958862305,0.16617345809936523,0.3265364170074463,0.5495593547821045,0.7787501811981201,1.0704982280731201,1.3798048496246338,1.6265411376953125,2.1397242546081543
AVERAGE,0.0010113716125488281,0.0019919872283935547,0.003016233444213867,0.0059986114501953125,0.0069997310638427734,0.010010957717895508,0.011726140975952148,0.009000539779663086,0.014352560043334961,0.0157010555267334
-------------------- Numero de iteracion 2 --------------------
BEST,0.0011203289031982422,0.0019998550415039062,0.0029997825622558594,0.0049974918365478516,0.00599980354309082,0.007005453109741211,0.011011600494384766,0.009991645812988281,0.009995698928833008,0.012003183364868164
WORST,0.021322011947631836,0.08251094818115234,0.1890549659729004,0.34368038177490234,0.5527658462524414,0.7660524845123291,1.0936450958251953,1.2515325546264648,1.7324340343475342,2.356307029724121
AVERAGE,0.0010008811950683594,0.0019996166229248047,0.004000663757324219,0.004999399185180664,0.0060002803802490234,0.0070073604583740234,0.007993221282958984,0.009006977081298828,0.01100015640258789,0.016004562377929688
-------------------- Numero de iteracion 3 --------------------
BEST,0.0010142326354980469,0.0020034313201904297,0.003998517990112305,0.005033016204833984,0.005998134613037109,0.006978273391723633,0.00799560546875,0.012999296188354492,0.009999990463256836,0.029652833938598633
WORST,0.02601790428161621,0.1280374526977539,0.19800233840942383,0.32099437713623047,0.4803466796875,0.6804215908050537,0.9912986755371094,1.3281538486480713,3.523834705352783,5.225187540054321
AVERAGE,0.001001119613647461,0.0019974708557128906,0.002992391586303711,0.004995584487915039,0.004999876022338867,0.008010625839233398,0.008999824523925781,0.010001420974731445,0.021828413009643555,0.025998592376708984
-------------------- Numero de iteracion 4 --------------------
BEST,0.002179861068725586,0.00428318977355957,0.005997419357299805,0.009969711303710938,0.014000177383422852,0.014993429183959961,0.01806783676147461,0.021005868911743164,0.02500438690185547,0.029003381729125977
WORST,0.05330801010131836,0.21077537536621094,0.45564794540405273,0.8053083419799805,1.3177344799041748,1.9200327396392822,2.566093683242798,3.4497780799865723,4.316948652267456,5.287021160125732
AVERAGE,0.001012563705444336,0.0035092830657958984,0.00576472282409668,0.008519649505615234,0.011309623718261719,0.015002250671386719,0.01899886131286621,0.02100086212158203,0.027364492416381836,0.02722787857055664
-------------------- Numero de iteracion 5 --------------------
BEST,0.002440929412841797,0.004517555236816406,0.0069997310638427734,0.012333154678344727,0.01163029670715332,0.015992164611816406,0.019404888153076172,0.021526098251342773,0.02600860595703125,0.02700018882751465
WORST,0.061363935470581055,0.20764589309692383,0.48484373092651367,0.8303673267364502,1.292182207107544,1.9317073822021484,2.5988948345184326,3.3473684787750244,4.184068202972412,5.2514824867248535
AVERAGE,0.0009992122650146484,0.005464315414428711,0.005906105041503906,0.00907444953918457,0.01242518424987793,0.012239694595336914,0.02220892906188965,0.02398967742919922,0.024496078491210938,0.02651500701904297
-------------------- Numero de iteracion 6 --------------------
BEST,0.0020003318786621094,0.003999233245849609,0.0060062408447265625,0.00901341438293457,0.01300358772277832,0.014007568359375,0.01751708984375,0.018848419189453125,0.02636861801147461,0.028013229370117188
WORST,0.05199885368347168,0.20460057258605957,0.4745807647705078,0.8430044651031494,1.2964251041412354,1.8738529682159424,2.557906150817871,3.444225788116455,4.214404344558716,5.322844743728638
AVERAGE,0.002000093460083008,0.003998279571533203,0.0070002079010009766,0.009518623352050781,0.00999307632446289,0.01300048828125,0.017851591110229492,0.02548956871032715,0.0260007381439209,0.02700018882751465
-------------------- Numero de iteracion 7 --------------------
BEST,0.002038717269897461,0.004002571105957031,0.0070002079010009766,0.009999990463256836,0.014002323150634766,0.015093088150024414,0.018004894256591797,0.02301335334777832,0.023524045944213867,0.02499985694885254
WORST,0.05201315879821777,0.2171478271484375,0.48417139053344727,0.8798539638519287,1.3730008602142334,1.9500031471252441,2.690394163131714,3.4721899032592773,4.26154899597168,5.206614017486572
AVERAGE,0.0024902820587158203,0.005000114440917969,0.0070002079010009766,0.011001348495483398,0.014005184173583984,0.015993595123291016,0.019000530242919922,0.02001333236694336,0.02554178237915039,0.023998737335205078
-------------------- Numero de iteracion 8 --------------------
BEST,0.002004861831665039,0.004998683929443359,0.007006168365478516,0.009000539779663086,0.006993770599365234,0.01599907875061035,0.018003463745117188,0.02300262451171875,0.022048473358154297,0.025002479553222656
WORST,0.051546335220336914,0.21244096755981445,0.447603702545166,0.8827216625213623,1.310725450515747,1.85982346534729,2.4562337398529053,3.2768146991729736,4.314149618148804,5.229929208755493
AVERAGE,0.001999378204345703,0.003999233245849609,0.006997585296630859,0.006997346878051758,0.011002540588378906,0.01799631118774414,0.019994497299194336,0.019999980926513672,0.025005578994750977,0.029352188110351562
-------------------- Numero de iteracion 9 --------------------
